,Squad,H_MP,H_W,H_D,H_L,H_GF,H_GA,H_GD,H_Pts,H_Pts/MP,A_MP,A_W,A_D,A_L,A_GF,A_GA,A_GD,A_Pts,A_Pts/MP,year,home_team_strength,away_team_strength,home_attack_strength,home_defence_strength,away_attack_strength,away_defence_strength
70,Southampton,19,6,3,10,21,35,-14,21,1.11,19,9,4,6,30,25,5,31,1.63,2019-20,963.1578947368421,994.7368421052633,1110.5263157894738,815.7894736842105,1157.8947368421052,868.421052631579
71,Everton,19,8,7,4,24,21,3,31,1.63,19,5,3,11,20,35,-15,18,0.95,2019-20,984.2105263157895,952.6315789473683,1126.3157894736842,889.4736842105262,1105.2631578947369,815.7894736842105
72,Newcastle Utd,19,6,8,5,20,21,-1,26,1.37,19,5,3,11,18,37,-19,18,0.95,2019-20,963.1578947368422,952.6315789473683,1105.2631578947369,889.4736842105262,1094.7368421052631,805.2631578947369
73,Crystal Palace,19,6,5,8,15,20,-5,23,1.21,19,5,5,9,16,30,-14,20,1.05,2019-20,963.1578947368422,952.6315789473684,1078.9473684210527,894.7368421052631,1084.2105263157894,842.1052631578948
74,Brighton,19,5,7,7,20,27,-7,22,1.16,19,4,7,8,19,27,-8,19,1.0,2019-20,952.6315789473683,942.1052631578948,1105.2631578947369,857.8947368421052,1100.0,857.8947368421052
75,West Ham,19,6,4,9,30,33,-3,22,1.16,19,4,5,10,19,29,-10,17,0.89,2019-20,963.1578947368421,942.1052631578948,1157.8947368421052,826.3157894736842,1100.0,847.3684210526316
76,Aston Villa,19,7,3,9,22,30,-8,24,1.26,19,2,5,12,19,37,-18,11,0.58,2019-20,973.6842105263158,921.0526315789474,1115.7894736842106,842.1052631578948,1100.0,805.2631578947369
77,Bournemouth,19,5,6,8,22,30,-8,21,1.11,19,4,1,14,18,35,-17,13,0.68,2019-20,952.6315789473684,942.1052631578948,1115.7894736842106,842.1052631578948,1094.7368421052631,815.7894736842105
78,Watford,19,6,6,7,22,27,-5,24,1.26,19,2,4,13,14,37,-23,10,0.53,2019-20,963.1578947368421,921.0526315789473,1115.7894736842106,857.8947368421052,1073.6842105263158,805.2631578947369
79,Norwich City,19,4,3,12,19,37,-18,15,0.79,19,1,3,15,7,38,-31,6,0.32,2019-20,942.1052631578948,910.5263157894738,1100.0,805.2631578947369,1036.842105263158,800.0
80,Manchester City,19,13,2,4,43,17,26,41,2.16,19,14,3,2,40,15,25,45,2.37,2020-21,1036.842105263158,1047.3684210526314,1226.3157894736842,910.5263157894736,1210.5263157894738,921.0526315789474
81,Manchester Utd,19,9,4,6,38,28,10,31,1.63,19,12,7,0,35,16,19,43,2.26,2020-21,994.7368421052633,1026.3157894736842,1200.0,852.6315789473684,1184.2105263157896,915.7894736842105
82,Liverpool,19,10,3,6,29,20,9,33,1.74,19,10,6,3,39,22,17,36,1.89,2020-21,1005.2631578947367,1005.2631578947368,1152.6315789473683,894.7368421052631,1205.2631578947369,884.2105263157895
83,Chelsea,19,9,6,4,31,18,13,33,1.74,19,10,4,5,27,18,9,34,1.79,2020-21,994.7368421052632,1005.2631578947369,1163.157894736842,905.2631578947369,1142.1052631578948,905.2631578947369
84,Leicester City,19,9,1,9,34,30,4,28,1.47,19,11,5,3,34,20,14,38,2.0,2020-21,994.7368421052632,1015.7894736842105,1178.9473684210527,842.1052631578948,1178.9473684210527,894.7368421052631
85,West Ham,19,10,4,5,32,22,10,34,1.79,19,9,4,6,30,25,5,31,1.63,2020-21,1005.2631578947369,994.7368421052633,1168.421052631579,884.2105263157895,1157.8947368421052,868.421052631579
86,Tottenham,19,10,3,6,35,20,15,33,1.74,19,8,5,6,33,25,8,29,1.53,2020-21,1005.2631578947367,984.2105263157896,1184.2105263157896,894.7368421052631,1173.6842105263158,868.421052631579
87,Arsenal,19,8,4,7,24,21,3,28,1.47,19,10,3,6,31,18,13,33,1.74,2020-21,984.2105263157895,1005.2631578947367,1126.3157894736842,889.4736842105262,1163.157894736842,905.2631578947369
88,Leeds United,19,8,5,6,28,21,7,29,1.53,19,10,0,9,34,33,1,30,1.58,2020-21,984.2105263157896,1005.2631578947368,1147.3684210526317,889.4736842105262,1178.9473684210527,826.3157894736842
89,Everton,19,6,4,9,24,28,-4,22,1.16,19,11,4,4,23,20,3,37,1.95,2020-21,963.1578947368421,1015.7894736842105,1126.3157894736842,852.6315789473684,1121.0526315789473,894.7368421052631
90,Aston Villa,19,7,4,8,29,27,2,25,1.32,19,9,3,7,26,19,7,30,1.58,2020-21,973.6842105263158,994.7368421052631,1152.6315789473683,857.8947368421052,1136.842105263158,900.0
91,Newcastle Utd,19,6,5,8,26,33,-7,23,1.21,19,6,4,9,20,29,-9,22,1.16,2020-21,963.1578947368422,963.1578947368421,1136.842105263158,826.3157894736842,1105.2631578947369,847.3684210526316
92,Wolves,19,7,4,8,21,25,-4,25,1.32,19,5,5,9,15,27,-12,20,1.05,2020-21,973.6842105263158,952.6315789473684,1110.5263157894738,868.421052631579,1078.9473684210527,857.8947368421052
93,Crystal Palace,19,6,5,8,20,32,-12,23,1.21,19,6,3,10,21,34,-13,21,1.11,2020-21,963.1578947368422,963.1578947368421,1105.2631578947369,831.578947368421,1110.5263157894738,821.0526315789474
94,Southampton,19,8,3,8,28,25,3,27,1.42,19,4,4,11,19,43,-24,16,0.84,2020-21,984.2105263157895,942.1052631578947,1147.3684210526317,868.421052631579,1100.0,773.6842105263158
95,Brighton,19,4,9,6,22,22,0,21,1.11,19,5,5,9,18,24,-6,20,1.05,2020-21,942.1052631578948,952.6315789473684,1115.7894736842106,884.2105263157895,1094.7368421052631,873.6842105263158
96,Burnley,19,4,6,9,14,27,-13,18,0.95,19,6,3,10,19,28,-9,21,1.11,2020-21,942.1052631578948,963.1578947368421,1073.6842105263158,857.8947368421052,1100.0,852.6315789473684
97,Fulham,19,2,4,13,9,28,-19,10,0.53,19,3,9,7,18,25,-7,18,0.95,2020-21,921.0526315789473,931.578947368421,1047.3684210526317,852.6315789473684,1094.7368421052631,868.421052631579
98,West Brom,19,3,6,10,15,39,-24,15,0.79,19,2,5,12,20,37,-17,11,0.58,2020-21,931.578947368421,921.0526315789474,1078.9473684210527,794.7368421052631,1105.2631578947369,805.2631578947369
99,Sheffield Utd,19,5,1,13,12,27,-15,16,0.84,19,2,1,16,8,36,-28,7,0.37,2020-21,952.6315789473683,921.0526315789473,1063.157894736842,857.8947368421052,1042.1052631578948,810.5263157894738
100,Manchester City,19,15,2,2,58,15,43,47,2.47,19,14,4,1,41,11,30,46,2.42,2021-22,1057.8947368421052,1047.3684210526317,1305.2631578947369,921.0526315789474,1215.7894736842104,942.1052631578947
101,Liverpool,19,15,4,0,49,9,40,49,2.58,19,13,4,2,45,17,28,43,2.26,2021-22,1057.8947368421054,1036.842105263158,1257.8947368421052,952.6315789473684,1236.842105263158,910.5263157894736
102,Chelsea,19,9,7,3,37,22,15,34,1.79,19,12,4,3,39,11,28,40,2.11,2021-22,994.7368421052632,1026.3157894736842,1194.7368421052631,884.2105263157895,1205.2631578947369,942.1052631578947
103,Tottenham,19,13,1,5,38,19,19,40,2.11,19,9,4,6,31,21,10,31,1.63,2021-22,1036.842105263158,994.7368421052633,1200.0,900.0,1163.157894736842,889.4736842105262
104,Arsenal,19,13,2,4,35,17,18,41,2.16,19,9,1,9,26,31,-5,28,1.47,2021-22,1036.842105263158,994.7368421052632,1184.2105263157896,910.5263157894736,1136.842105263158,836.8421052631579
105,Manchester Utd,19,10,5,4,32,22,10,35,1.84,19,6,5,8,25,35,-10,23,1.21,2021-22,1005.2631578947368,963.1578947368422,1168.421052631579,884.2105263157895,1131.578947368421,815.7894736842105
106,West Ham,19,9,5,5,33,26,7,32,1.68,19,7,3,9,27,25,2,24,1.26,2021-22,994.7368421052633,973.6842105263158,1173.6842105263158,863.1578947368421,1142.1052631578948,868.421052631579
107,Leicester City,19,10,4,5,34,23,11,34,1.79,19,4,6,9,28,36,-8,18,0.95,2021-22,1005.2631578947369,942.1052631578948,1178.9473684210527,878.9473684210526,1147.3684210526317,810.5263157894738
108,Brighton,19,5,7,7,19,23,-4,22,1.16,19,7,8,4,23,21,2,29,1.53,2021-22,952.6315789473683,973.6842105263158,1100.0,878.9473684210526,1121.0526315789473,889.4736842105262
109,Wolves,19,7,3,9,20,25,-5,24,1.26,19,8,3,8,18,18,0,27,1.42,2021-22,973.6842105263158,984.2105263157895,1105.2631578947369,868.421052631579,1094.7368421052631,905.2631578947369
110,Newcastle Utd,19,8,6,5,26,27,-1,30,1.58,19,5,4,10,18,35,-17,19,1.0,2021-22,984.2105263157896,952.6315789473683,1136.842105263158,857.8947368421052,1094.7368421052631,815.7894736842105
111,Crystal Palace,19,7,8,4,27,17,10,29,1.53,19,4,7,8,23,29,-6,19,1.0,2021-22,973.6842105263158,942.1052631578948,1142.1052631578948,910.5263157894736,1121.0526315789473,847.3684210526316
112,Brentford,19,7,3,9,22,21,1,24,1.26,19,6,4,9,26,35,-9,22,1.16,2021-22,973.6842105263158,963.1578947368421,1115.7894736842106,889.4736842105262,1136.842105263158,815.7894736842105
113,Aston Villa,19,6,5,8,29,29,0,23,1.21,19,7,1,11,23,25,-2,22,1.16,2021-22,963.1578947368422,973.6842105263157,1152.6315789473683,847.3684210526316,1121.0526315789473,868.421052631579
114,Southampton,19,6,7,6,23,24,-1,25,1.32,19,3,6,10,20,43,-23,15,0.79,2021-22,963.1578947368421,931.578947368421,1121.0526315789473,873.6842105263158,1105.2631578947369,773.6842105263158
115,Everton,19,9,2,8,27,25,2,29,1.53,19,2,4,13,16,41,-25,10,0.53,2021-22,994.7368421052632,921.0526315789473,1142.1052631578948,868.421052631579,1084.2105263157894,784.2105263157895
116,Leeds United,19,4,6,9,19,38,-19,18,0.95,19,5,5,9,23,41,-18,20,1.05,2021-22,942.1052631578948,952.6315789473684,1100.0,800.0,1121.0526315789473,784.2105263157895
117,Burnley,19,5,6,8,18,25,-7,21,1.11,19,2,8,9,16,28,-12,14,0.74,2021-22,952.6315789473684,921.0526315789474,1094.7368421052631,868.421052631579,1084.2105263157894,852.6315789473684
118,Watford,19,2,2,15,17,46,-29,8,0.42,19,4,3,12,17,31,-14,15,0.79,2021-22,921.0526315789474,942.1052631578948,1089.4736842105262,757.8947368421052,1089.4736842105262,836.8421052631579
119,Norwich City,19,3,3,13,12,43,-31,12,0.63,19,2,4,13,11,41,-30,10,0.53,2021-22,931.578947368421,921.0526315789473,1063.157894736842,773.6842105263158,1057.8947368421052,784.2105263157895
