,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
4,284,48,15,2,True,2022-08-31T19:00:00Z,2,1,5,70,0,0,0,1,0,0,0,0,0,0,0,18,13.8,41.8,20.0,7.6,69,-42785,773269,40067,82852
5,284,55,8,1,False,2022-09-03T11:30:00Z,0,0,6,31,0,0,0,0,0,0,0,0,0,0,0,6,11.6,47.8,0.0,5.9,68,-75513,713818,39687,115200
0,285,4,9,1,False,2022-08-06T11:30:00Z,2,2,1,90,0,0,0,2,0,0,0,0,0,0,0,13,12.2,20.9,2.0,3.5,75,0,4694983,0,0
1,285,16,7,3,True,2022-08-15T19:00:00Z,1,1,2,90,0,0,0,1,0,0,0,0,0,0,1,24,25.0,74.9,40.0,14.0,75,-132984,4933952,60565,193549
2,285,27,14,0,False,2022-08-22T19:00:00Z,2,1,3,90,0,0,0,2,0,0,0,1,0,0,0,12,13.8,42.7,5.0,6.2,75,-246992,4817953,91592,338584
3,285,36,3,17,True,2022-08-27T14:00:00Z,9,0,4,82,1,1,1,0,0,0,0,0,0,0,2,58,59.0,61.6,11.0,13.2,75,-386885,4514639,84441,471326
4,285,48,15,2,True,2022-08-31T19:00:00Z,2,1,5,70,0,0,0,1,0,0,0,0,0,0,0,12,5.0,16.3,14.0,3.5,75,238301,4893854,299146,60845
5,285,55,8,1,False,2022-09-03T11:30:00Z,0,0,6,58,0,0,0,0,0,0,0,0,0,0,0,8,10.4,25.3,0.0,3.6,75,-32101,4934576,165668,197769
0,286,4,9,0,False,2022-08-06T11:30:00Z,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,19160,0,0
1,286,16,7,1,True,2022-08-15T19:00:00Z,1,1,2,27,0,0,0,0,0,0,0,0,0,0,0,11,9.4,1.3,0.0,1.1,45,-1754,24045,2329,4083
2,286,27,14,1,False,2022-08-22T19:00:00Z,2,1,3,90,0,0,0,2,0,0,0,0,0,0,0,17,21.0,2.3,0.0,2.3,45,2493,31060,8064,5571
